Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean    0.99+-0.0006  0.7331+-0.0384
min_A_aa       0.9879+-0.0002  0.4994+-0.0242
min_A_jc_mean  0.9859+-0.0001  0.5038+-0.0231
min_A_cn       0.9839+-0.0004  0.4986+-0.0242
avg_A_jc       0.9824+-0.0012   0.7097+-0.036
min_A_aa_mean  0.9757+-0.0001  0.5014+-0.0243
max_A_jc        0.9698+-0.002   0.7402+-0.032
min_A_cn_mean  0.9691+-0.0004  0.5004+-0.0248
max_A_jc_mean  0.9682+-0.0015  0.7693+-0.0321
min_A_jc        0.9619+-0.001   0.4987+-0.023
avg_A_aa        0.944+-0.0002   0.686+-0.0368
avg_A_cn       0.9297+-0.0004  0.6685+-0.0362
avg_A_aa_mean  0.8955+-0.0014  0.6565+-0.0392
avg_A_cn_mean  0.8709+-0.0012  0.6416+-0.0397
min_A_jc_      0.8637+-0.0034   0.495+-0.0223
min_A_aa_      0.8437+-0.0058  0.4934+-0.0239
max_A_aa       0.8353+-0.0011  0.6852+-0.0321
min_A_cn_       0.8349+-0.005   0.4913+-0.024
avg_A_jc_      0.8165+-0.0009  0.6748+-0.0372
max_A_cn       0.8073+-0.0012  0.6649+-0.0316
max_A_aa_mean  0.7588+-0.0026  0.6363+-0.0259
max_A_jc_      0.7374+-0.0014  0.6763+-0.0272
max_A_cn_mean   0.729+-0.0021  0.6179+-0.0252
avg_A_aa_       0.719+-0.0029  0.5978+-0.0387
avg_A_cn_      0.7072+-0.0023  0.5927+-0.0396
max_A_aa_      0.6355+-0.0027  0.5825+-0.0257
max_A_cn_      0.6274+-0.0024  0.5782+-0.0266
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
