Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9881+-0.0018  0.7165+-0.0267
avg_A_jc       0.9851+-0.0003  0.7281+-0.0274
min_A_jc_mean   0.982+-0.0004   0.4496+-0.016
min_A_aa       0.9818+-0.0022   0.447+-0.0174
min_A_cn       0.9777+-0.0024  0.4446+-0.0189
min_A_aa_mean  0.9773+-0.0023   0.4506+-0.018
max_A_jc       0.9737+-0.0009   0.757+-0.0272
max_A_jc_mean     0.97+-0.001   0.756+-0.0247
min_A_cn_mean  0.9694+-0.0026   0.448+-0.0184
min_A_jc       0.9656+-0.0021  0.4532+-0.0149
avg_A_aa       0.9361+-0.0044  0.6614+-0.0243
avg_A_cn        0.924+-0.0052  0.6485+-0.0211
avg_A_aa_mean  0.9175+-0.0041   0.6378+-0.017
avg_A_cn_mean  0.8943+-0.0056  0.6189+-0.0186
max_A_aa        0.8155+-0.012   0.637+-0.0156
max_A_cn       0.7963+-0.0145  0.6241+-0.0117
max_A_aa_mean  0.7909+-0.0116  0.6235+-0.0156
min_A_jc_       0.7851+-0.003  0.4232+-0.0069
avg_A_jc_      0.7703+-0.0005  0.5726+-0.0506
max_A_cn_mean  0.7605+-0.0128  0.6004+-0.0137
min_A_aa_      0.7587+-0.0074  0.4267+-0.0143
min_A_cn_      0.7532+-0.0083  0.4286+-0.0146
max_A_jc_       0.713+-0.0004  0.5907+-0.0641
avg_A_aa_      0.7103+-0.0075  0.5252+-0.0412
avg_A_cn_      0.6964+-0.0073  0.5185+-0.0422
max_A_aa_      0.6401+-0.0059    0.5162+-0.03
max_A_cn_      0.6288+-0.0061  0.5056+-0.0283
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
