Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_aa       0.9818+-0.0003  0.4898+-0.0129
min_A_jc_mean   0.979+-0.0002  0.4896+-0.0135
min_A_cn       0.9753+-0.0002  0.4881+-0.0128
avg_A_jc_mean  0.9715+-0.0012  0.7475+-0.0002
avg_A_jc       0.9672+-0.0006  0.7564+-0.0144
max_A_jc       0.9611+-0.0005  0.8025+-0.0076
min_A_aa_mean  0.9585+-0.0003  0.4873+-0.0153
min_A_cn_mean  0.9482+-0.0005  0.4866+-0.0148
avg_A_aa       0.9069+-0.0008  0.7051+-0.0098
max_A_jc_mean  0.8981+-0.0011  0.7286+-0.0132
avg_A_cn       0.8844+-0.0011   0.6845+-0.008
min_A_jc       0.8757+-0.0025  0.4721+-0.0149
avg_A_aa_mean  0.7694+-0.0024  0.6293+-0.0048
avg_A_cn_mean  0.7447+-0.0017  0.6186+-0.0063
max_A_aa       0.7257+-0.0023  0.6528+-0.0109
min_A_jc_       0.7144+-0.002  0.4512+-0.0213
min_A_aa_      0.6997+-0.0019   0.454+-0.0184
max_A_cn        0.695+-0.0022  0.6307+-0.0068
min_A_cn_      0.6921+-0.0026  0.4548+-0.0184
avg_A_jc_      0.6789+-0.0009  0.6169+-0.0015
avg_A_aa_      0.6201+-0.0018  0.5798+-0.0088
max_A_jc_      0.6193+-0.0002  0.6054+-0.0142
avg_A_cn_      0.6158+-0.0017  0.5776+-0.0091
max_A_aa_mean   0.607+-0.0018  0.5833+-0.0124
max_A_cn_mean  0.5935+-0.0019  0.5753+-0.0138
max_A_aa_      0.5595+-0.0022  0.5588+-0.0136
max_A_cn_      0.5568+-0.0021  0.5572+-0.0142
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
