Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9861+-0.0045   0.7498+-0.003
min_A_jc_mean  0.9853+-0.0044  0.4952+-0.0002
min_A_aa       0.9843+-0.0042  0.4929+-0.0001
avg_A_jc       0.9835+-0.0042   0.7304+-0.004
min_A_cn       0.9814+-0.0047  0.4943+-0.0009
min_A_jc       0.9806+-0.0033  0.4929+-0.0011
min_A_aa_mean  0.9796+-0.0053  0.4954+-0.0005
min_A_cn_mean  0.9739+-0.0059   0.495+-0.0003
max_A_jc_mean  0.9721+-0.0055  0.7689+-0.0042
max_A_jc       0.9717+-0.0053  0.7341+-0.0181
avg_A_aa          0.958+-0.01  0.6973+-0.0114
avg_A_cn       0.9505+-0.0106  0.6892+-0.0128
avg_A_aa_mean  0.9426+-0.0127  0.6897+-0.0115
min_A_jc_      0.9379+-0.0063  0.4946+-0.0011
avg_A_cn_mean  0.9271+-0.0134  0.6785+-0.0106
min_A_aa_      0.9211+-0.0086  0.4943+-0.0012
min_A_cn_      0.9123+-0.0087  0.4936+-0.0008
avg_A_jc_      0.9051+-0.0128  0.7204+-0.0145
max_A_aa       0.8981+-0.0185  0.6949+-0.0174
max_A_cn       0.8786+-0.0191  0.6856+-0.0214
max_A_aa_mean  0.8591+-0.0204  0.6817+-0.0256
avg_A_aa_      0.8377+-0.0203  0.6499+-0.0069
max_A_jc_       0.8342+-0.015   0.729+-0.0189
max_A_cn_mean  0.8331+-0.0203  0.6693+-0.0237
avg_A_cn_       0.8192+-0.018   0.6404+-0.004
max_A_aa_      0.7356+-0.0206   0.642+-0.0269
max_A_cn_      0.7192+-0.0192   0.6336+-0.022
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
