Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9944+-0.0002  0.7538+-0.0071
min_A_jc_mean  0.9931+-0.0008  0.4094+-0.0006
min_A_aa       0.9928+-0.0005  0.4074+-0.0019
avg_A_jc       0.9925+-0.0004  0.7838+-0.0144
min_A_cn       0.9904+-0.0002  0.4069+-0.0047
min_A_aa_mean    0.99+-0.0001  0.4075+-0.0048
min_A_cn_mean  0.9845+-0.0005  0.4065+-0.0056
min_A_jc       0.9841+-0.0001  0.4122+-0.0015
max_A_jc       0.9825+-0.0013  0.8183+-0.0324
max_A_jc_mean  0.9765+-0.0016  0.7945+-0.0516
avg_A_aa       0.9591+-0.0019  0.7082+-0.0069
avg_A_cn       0.9504+-0.0024  0.6965+-0.0044
avg_A_aa_mean  0.9383+-0.0023  0.6647+-0.0035
avg_A_cn_mean  0.9171+-0.0031  0.6445+-0.0082
max_A_aa       0.8359+-0.0022  0.6978+-0.0203
max_A_cn       0.8177+-0.0037  0.6823+-0.0162
min_A_jc_      0.8023+-0.0124  0.4054+-0.0039
max_A_aa_mean  0.7938+-0.0029  0.6487+-0.0108
min_A_aa_      0.7639+-0.0043  0.4037+-0.0027
max_A_cn_mean  0.7633+-0.0045  0.6238+-0.0043
avg_A_jc_       0.7587+-0.001    0.5976+-0.03
min_A_cn_      0.7565+-0.0069   0.403+-0.0006
avg_A_aa_      0.6975+-0.0124  0.5558+-0.0345
avg_A_cn_        0.686+-0.012  0.5501+-0.0345
max_A_jc_         0.6729+-0.0  0.6178+-0.0169
max_A_aa_      0.6209+-0.0073  0.5612+-0.0149
max_A_cn_       0.6121+-0.007  0.5592+-0.0157
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
