Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc       0.9883+-0.0009  0.8056+-0.0278
avg_A_jc_mean  0.9817+-0.0048  0.7639+-0.0417
max_A_jc       0.9794+-0.0001  0.8333+-0.0556
min_A_jc       0.9781+-0.0114  0.4097+-0.0764
max_A_jc_mean    0.976+-0.001  0.8194+-0.0694
min_A_jc_mean  0.9712+-0.0168  0.4236+-0.0903
min_A_aa       0.9462+-0.0192  0.4097+-0.0764
min_A_aa_mean  0.9379+-0.0235  0.4097+-0.0764
min_A_cn       0.9373+-0.0202  0.4097+-0.0764
min_A_cn_mean   0.9271+-0.027  0.4097+-0.0764
avg_A_aa        0.8945+-0.007  0.7222+-0.0556
avg_A_aa_mean  0.8873+-0.0142  0.7222+-0.0556
avg_A_cn        0.886+-0.0121  0.7153+-0.0486
avg_A_cn_mean  0.8715+-0.0159  0.7083+-0.0417
max_A_aa       0.8318+-0.0037  0.7222+-0.0556
min_A_jc_      0.8255+-0.0533  0.4097+-0.0764
max_A_cn       0.8223+-0.0031  0.7222+-0.0556
max_A_aa_mean  0.8174+-0.0037  0.7083+-0.0417
max_A_cn_mean  0.7985+-0.0006  0.7083+-0.0417
min_A_aa_      0.7936+-0.0628  0.4167+-0.0833
avg_A_jc_      0.7897+-0.0324  0.6806+-0.0139
min_A_cn_      0.7794+-0.0632  0.4167+-0.0833
max_A_jc_      0.7445+-0.0009  0.7083+-0.0139
avg_A_aa_      0.7428+-0.0322  0.6806+-0.0139
avg_A_cn_      0.7222+-0.0306  0.6736+-0.0208
max_A_aa_      0.6795+-0.0077  0.6944+-0.0278
max_A_cn_       0.6609+-0.011  0.6875+-0.0347
B_cn           0.4957+-0.0043        0.5+-0.0
B_cn_          0.4957+-0.0043        0.5+-0.0
B_cn_mean      0.4957+-0.0043        0.5+-0.0
B_jc           0.4957+-0.0043        0.5+-0.0
B_jc_          0.4957+-0.0043        0.5+-0.0
B_jc_mean      0.4957+-0.0043        0.5+-0.0
B_aa           0.4957+-0.0043        0.5+-0.0
B_aa_          0.4957+-0.0043        0.5+-0.0
B_aa_mean      0.4957+-0.0043        0.5+-0.0
