Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9922+-0.0001  0.7381+-0.0243
min_A_aa          0.9895+-0.0  0.5086+-0.0238
avg_A_jc       0.9894+-0.0006   0.727+-0.0282
min_A_jc_mean  0.9887+-0.0002  0.5107+-0.0244
min_A_cn       0.9862+-0.0001   0.5085+-0.024
min_A_aa_mean  0.9805+-0.0005  0.5112+-0.0244
max_A_jc       0.9802+-0.0015  0.7436+-0.0177
min_A_jc          0.9767+-0.0  0.5075+-0.0253
max_A_jc_mean  0.9764+-0.0012  0.7554+-0.0091
min_A_cn_mean  0.9752+-0.0009  0.5105+-0.0239
avg_A_aa       0.9581+-0.0024   0.6936+-0.019
avg_A_cn       0.9467+-0.0033  0.6809+-0.0215
avg_A_aa_mean  0.9192+-0.0053    0.6608+-0.02
min_A_jc_      0.9082+-0.0019  0.5097+-0.0243
avg_A_cn_mean  0.8975+-0.0059  0.6492+-0.0221
min_A_aa_      0.8893+-0.0009  0.5088+-0.0249
min_A_cn_         0.8815+-0.0  0.5078+-0.0244
max_A_aa        0.8726+-0.003  0.6936+-0.0152
avg_A_jc_      0.8635+-0.0016  0.6704+-0.0155
max_A_cn        0.848+-0.0044  0.6764+-0.0176
max_A_aa_mean   0.801+-0.0034  0.6386+-0.0183
max_A_jc_      0.7738+-0.0009  0.6629+-0.0067
max_A_cn_mean   0.7715+-0.003   0.621+-0.0182
avg_A_aa_       0.766+-0.0051  0.6006+-0.0252
avg_A_cn_       0.751+-0.0047  0.5945+-0.0242
max_A_aa_         0.6712+-0.0  0.5694+-0.0151
max_A_cn_      0.6594+-0.0004  0.5636+-0.0147
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
