Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9886+-0.0019  0.7359+-0.0211
min_A_jc_mean  0.9876+-0.0012   0.4007+-0.035
min_A_aa        0.9855+-0.001  0.3927+-0.0343
avg_A_jc        0.983+-0.0012  0.7366+-0.0201
min_A_cn       0.9816+-0.0012  0.3926+-0.0327
min_A_aa_mean  0.9797+-0.0017   0.396+-0.0298
min_A_cn_mean   0.9719+-0.002  0.3962+-0.0307
max_A_jc       0.9708+-0.0034   0.7596+-0.021
max_A_jc_mean  0.9622+-0.0029   0.755+-0.0015
min_A_jc         0.96+-0.0008  0.3856+-0.0307
avg_A_aa         0.93+-0.0026  0.6764+-0.0166
avg_A_cn       0.9169+-0.0023  0.6598+-0.0151
avg_A_aa_mean   0.905+-0.0034  0.6517+-0.0127
avg_A_cn_mean  0.8792+-0.0036  0.6328+-0.0112
max_A_aa       0.7969+-0.0017  0.6384+-0.0003
max_A_cn       0.7768+-0.0003  0.6267+-0.0027
min_A_jc_      0.7753+-0.0085  0.3876+-0.0163
max_A_aa_mean  0.7544+-0.0005  0.6124+-0.0014
min_A_aa_       0.752+-0.0041  0.3789+-0.0095
avg_A_jc_      0.7505+-0.0027  0.6143+-0.0466
min_A_cn_      0.7439+-0.0066  0.3773+-0.0096
max_A_cn_mean  0.7233+-0.0028  0.5967+-0.0025
avg_A_aa_      0.6868+-0.0015  0.5707+-0.0092
max_A_jc_      0.6838+-0.0009  0.6112+-0.0223
avg_A_cn_      0.6745+-0.0018  0.5675+-0.0072
max_A_aa_       0.617+-0.0022  0.5833+-0.0041
max_A_cn_      0.6084+-0.0021  0.5827+-0.0068
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
