Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9904+-0.0005  0.7457+-0.0157
min_A_jc_mean  0.9892+-0.0012  0.4404+-0.0342
min_A_aa       0.9872+-0.0002  0.4365+-0.0358
avg_A_jc       0.9865+-0.0008  0.7362+-0.0187
min_A_cn       0.9836+-0.0003  0.4361+-0.0362
min_A_aa_mean     0.9833+-0.0  0.4389+-0.0341
min_A_cn_mean  0.9766+-0.0002  0.4389+-0.0342
max_A_jc        0.976+-0.0024  0.7689+-0.0008
max_A_jc_mean  0.9696+-0.0017  0.7774+-0.0009
min_A_jc       0.9621+-0.0021   0.438+-0.0391
avg_A_aa       0.9382+-0.0007  0.6816+-0.0041
avg_A_cn       0.9264+-0.0007  0.6627+-0.0071
avg_A_aa_mean   0.9115+-0.001  0.6466+-0.0121
avg_A_cn_mean  0.8877+-0.0011  0.6243+-0.0119
min_A_jc_      0.8152+-0.0009  0.4318+-0.0335
max_A_aa       0.8078+-0.0059  0.6749+-0.0314
avg_A_jc_      0.7936+-0.0018  0.6108+-0.0072
max_A_cn       0.7866+-0.0065   0.6504+-0.027
min_A_aa_      0.7853+-0.0042  0.4305+-0.0351
min_A_cn_      0.7743+-0.0038  0.4295+-0.0351
max_A_aa_mean  0.7655+-0.0055   0.6382+-0.009
max_A_cn_mean  0.7362+-0.0054  0.6122+-0.0087
max_A_jc_      0.7163+-0.0024   0.636+-0.0142
avg_A_aa_      0.7134+-0.0019  0.5468+-0.0156
avg_A_cn_      0.7023+-0.0019  0.5392+-0.0118
max_A_aa_      0.6372+-0.0033  0.5606+-0.0125
max_A_cn_      0.6297+-0.0035  0.5574+-0.0161
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
