Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_aa        0.9758+-0.001  0.4759+-0.0044
min_A_jc_mean  0.9732+-0.0006  0.4829+-0.0063
min_A_cn       0.9684+-0.0011  0.4744+-0.0031
avg_A_jc_mean   0.968+-0.0001  0.7214+-0.0097
avg_A_jc       0.9607+-0.0018  0.7077+-0.0109
max_A_jc       0.9521+-0.0022   0.742+-0.0045
min_A_aa_mean  0.9482+-0.0018   0.4716+-0.001
min_A_cn_mean  0.9366+-0.0019  0.4712+-0.0005
max_A_jc_mean  0.8918+-0.0041  0.7061+-0.0001
avg_A_aa       0.8897+-0.0012  0.6494+-0.0091
min_A_jc       0.8716+-0.0039  0.4708+-0.0063
avg_A_cn       0.8653+-0.0014  0.6306+-0.0095
avg_A_aa_mean  0.7663+-0.0026  0.5899+-0.0062
avg_A_cn_mean  0.7402+-0.0026   0.579+-0.0068
max_A_aa       0.7212+-0.0019  0.5951+-0.0018
min_A_jc_      0.7059+-0.0004  0.4497+-0.0015
min_A_aa_      0.6941+-0.0008  0.4457+-0.0032
max_A_cn       0.6896+-0.0022  0.5745+-0.0001
min_A_cn_      0.6863+-0.0006  0.4458+-0.0022
avg_A_jc_      0.6786+-0.0053    0.588+-0.004
max_A_jc_       0.629+-0.0093  0.5794+-0.0088
avg_A_aa_      0.6189+-0.0049  0.5404+-0.0003
max_A_aa_mean  0.6141+-0.0065  0.5481+-0.0058
avg_A_cn_       0.6141+-0.005  0.5379+-0.0006
max_A_cn_mean  0.5997+-0.0068  0.5395+-0.0065
max_A_aa_      0.5644+-0.0089  0.5226+-0.0133
max_A_cn_      0.5615+-0.0089  0.5203+-0.0134
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
