Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9886+-0.0008  0.7398+-0.0236
min_A_jc_mean  0.9858+-0.0009  0.4997+-0.0062
min_A_aa          0.9854+-0.0  0.4977+-0.0054
min_A_cn          0.9808+-0.0  0.4945+-0.0063
avg_A_jc       0.9754+-0.0001  0.7283+-0.0202
min_A_aa_mean  0.9731+-0.0001  0.4963+-0.0053
min_A_cn_mean     0.9662+-0.0  0.4947+-0.0047
max_A_jc_mean  0.9619+-0.0019   0.7681+-0.026
max_A_jc       0.9619+-0.0013   0.7594+-0.018
min_A_jc        0.949+-0.0015  0.4927+-0.0086
avg_A_aa        0.9298+-0.001  0.6684+-0.0226
avg_A_cn       0.9122+-0.0014  0.6478+-0.0237
avg_A_aa_mean   0.873+-0.0033  0.6261+-0.0268
avg_A_cn_mean  0.8469+-0.0041  0.6103+-0.0271
min_A_jc_      0.8454+-0.0003  0.4887+-0.0023
min_A_aa_      0.8302+-0.0002  0.4823+-0.0034
min_A_cn_      0.8211+-0.0012   0.481+-0.0015
max_A_aa       0.7979+-0.0092  0.6488+-0.0276
avg_A_jc_      0.7962+-0.0032  0.6282+-0.0199
max_A_cn       0.7664+-0.0108  0.6256+-0.0273
max_A_aa_mean  0.7218+-0.0132  0.6012+-0.0264
max_A_jc_      0.7202+-0.0075  0.6423+-0.0105
avg_A_aa_      0.7057+-0.0069   0.5574+-0.025
max_A_cn_mean  0.6956+-0.0142  0.5856+-0.0251
avg_A_cn_      0.6949+-0.0075  0.5526+-0.0255
max_A_aa_      0.6292+-0.0137  0.5552+-0.0182
max_A_cn_      0.6222+-0.0141  0.5518+-0.0182
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
