Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_aa       0.9857+-0.0009  0.5111+-0.0091
avg_A_jc_mean  0.9843+-0.0012  0.7738+-0.0116
min_A_jc_mean  0.9832+-0.0011  0.5144+-0.0088
min_A_cn       0.9809+-0.0011  0.5102+-0.0085
avg_A_jc       0.9746+-0.0015  0.7589+-0.0124
min_A_aa_mean  0.9676+-0.0021  0.5119+-0.0086
max_A_jc       0.9628+-0.0011  0.7892+-0.0095
min_A_cn_mean  0.9597+-0.0024  0.5115+-0.0078
max_A_jc_mean   0.945+-0.0015   0.789+-0.0182
min_A_jc       0.9334+-0.0027   0.5065+-0.007
avg_A_aa        0.928+-0.0042  0.7097+-0.0153
avg_A_cn       0.9072+-0.0049  0.6917+-0.0153
avg_A_aa_mean  0.8333+-0.0044  0.6564+-0.0129
min_A_jc_      0.8097+-0.0069  0.5048+-0.0095
avg_A_cn_mean  0.8053+-0.0044  0.6442+-0.0132
min_A_aa_      0.7906+-0.0072  0.5003+-0.0085
min_A_cn_      0.7806+-0.0069  0.4998+-0.0078
max_A_aa       0.7797+-0.0024  0.6759+-0.0146
avg_A_jc_      0.7527+-0.0055  0.6581+-0.0076
max_A_cn       0.7451+-0.0025  0.6533+-0.0148
max_A_jc_      0.6877+-0.0024  0.6534+-0.0079
max_A_aa_mean  0.6731+-0.0016   0.618+-0.0125
avg_A_aa_      0.6632+-0.0037  0.6022+-0.0121
avg_A_cn_       0.656+-0.0037  0.5989+-0.0126
max_A_cn_mean   0.651+-0.0017  0.6068+-0.0122
max_A_aa_      0.5954+-0.0018  0.5831+-0.0117
max_A_cn_      0.5906+-0.0017  0.5811+-0.0118
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
