Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_aa       0.9756+-0.0026  0.4843+-0.0093
min_A_jc_mean  0.9728+-0.0028  0.4907+-0.0103
min_A_cn       0.9673+-0.0031   0.4809+-0.008
avg_A_jc_mean  0.9651+-0.0029  0.7077+-0.0147
avg_A_jc       0.9546+-0.0011  0.6746+-0.0165
max_A_jc       0.9478+-0.0006  0.7255+-0.0166
min_A_aa_mean  0.9474+-0.0036  0.4822+-0.0111
min_A_cn_mean  0.9362+-0.0041  0.4805+-0.0107
max_A_jc_mean  0.8918+-0.0033  0.7086+-0.0263
avg_A_aa        0.876+-0.0042  0.6337+-0.0209
min_A_jc       0.8611+-0.0055  0.4726+-0.0086
avg_A_cn       0.8466+-0.0047    0.614+-0.022
min_A_jc_      0.7423+-0.0109  0.4708+-0.0142
avg_A_aa_mean  0.7399+-0.0065   0.594+-0.0255
min_A_aa_      0.7259+-0.0091  0.4625+-0.0119
avg_A_cn_mean  0.7169+-0.0062  0.5842+-0.0257
min_A_cn_      0.7166+-0.0091  0.4626+-0.0113
max_A_aa       0.7036+-0.0028  0.5983+-0.0259
avg_A_jc_      0.6886+-0.0058  0.6141+-0.0234
max_A_cn       0.6702+-0.0026  0.5759+-0.0257
max_A_jc_      0.6309+-0.0004  0.6103+-0.0289
avg_A_aa_      0.6152+-0.0039  0.5617+-0.0276
avg_A_cn_      0.6094+-0.0038   0.559+-0.0278
max_A_aa_mean  0.5985+-0.0008  0.5656+-0.0296
max_A_cn_mean  0.5855+-0.0006   0.559+-0.0297
max_A_aa_      0.5581+-0.0005  0.5512+-0.0292
max_A_cn_      0.5547+-0.0005  0.5492+-0.0293
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
