Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_aa       0.9867+-0.0006  0.4291+-0.0474
min_A_jc_mean  0.9855+-0.0001   0.4356+-0.046
avg_A_jc_mean  0.9848+-0.0001    0.71+-0.0356
avg_A_jc       0.9838+-0.0006  0.7301+-0.0084
min_A_cn        0.982+-0.0008  0.4264+-0.0473
max_A_jc       0.9751+-0.0007  0.7656+-0.0079
min_A_aa_mean  0.9729+-0.0018  0.4285+-0.0435
min_A_cn_mean  0.9627+-0.0025   0.427+-0.0444
max_A_jc_mean   0.946+-0.0042  0.7085+-0.0227
min_A_jc       0.9391+-0.0048   0.4274+-0.049
avg_A_aa        0.935+-0.0006  0.6664+-0.0268
avg_A_cn       0.9199+-0.0015  0.6479+-0.0307
avg_A_aa_mean  0.8669+-0.0059  0.5916+-0.0448
avg_A_cn_mean   0.8381+-0.007  0.5704+-0.0433
max_A_aa        0.7998+-0.001  0.6373+-0.0122
max_A_cn        0.777+-0.0023  0.6188+-0.0127
min_A_jc_      0.7746+-0.0134  0.4184+-0.0414
min_A_aa_      0.7457+-0.0128  0.4113+-0.0425
min_A_cn_      0.7369+-0.0117  0.4112+-0.0422
avg_A_jc_      0.7306+-0.0113  0.5656+-0.0445
max_A_aa_mean  0.7118+-0.0087  0.5619+-0.0264
max_A_cn_mean  0.6859+-0.0088   0.546+-0.0249
max_A_jc_      0.6655+-0.0098  0.5752+-0.0272
avg_A_aa_        0.6561+-0.01  0.4972+-0.0437
avg_A_cn_      0.6482+-0.0094  0.4951+-0.0449
max_A_aa_      0.5917+-0.0072  0.5026+-0.0294
max_A_cn_      0.5873+-0.0069   0.5003+-0.029
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
