Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9804+-0.0001  0.7194+-0.0041
min_A_jc_mean   0.9789+-0.001  0.5148+-0.0138
min_A_aa       0.9788+-0.0005  0.5055+-0.0108
min_A_cn       0.9726+-0.0004  0.5037+-0.0112
avg_A_jc       0.9659+-0.0007   0.7003+-0.004
min_A_aa_mean  0.9572+-0.0013  0.5072+-0.0125
max_A_jc        0.955+-0.0002   0.744+-0.0002
min_A_cn_mean  0.9482+-0.0012   0.506+-0.0128
max_A_jc_mean  0.9391+-0.0015  0.7305+-0.0019
min_A_jc       0.9115+-0.0004  0.4989+-0.0155
avg_A_aa       0.8994+-0.0004  0.6411+-0.0049
avg_A_cn       0.8744+-0.0006  0.6206+-0.0072
avg_A_aa_mean  0.8111+-0.0011    0.5972+-0.01
min_A_jc_      0.7925+-0.0045  0.4952+-0.0114
avg_A_cn_mean  0.7834+-0.0014  0.5836+-0.0113
min_A_aa_      0.7791+-0.0032  0.4927+-0.0164
min_A_cn_      0.7694+-0.0029  0.4908+-0.0158
max_A_aa       0.7523+-0.0018   0.6091+-0.001
avg_A_jc_      0.7452+-0.0004  0.5999+-0.0108
max_A_cn       0.7176+-0.0015  0.5868+-0.0032
max_A_jc_      0.6848+-0.0008  0.5934+-0.0015
avg_A_aa_       0.6664+-0.001  0.5493+-0.0103
max_A_aa_mean  0.6622+-0.0002  0.5545+-0.0077
avg_A_cn_      0.6577+-0.0012   0.545+-0.0108
max_A_cn_mean  0.6418+-0.0005   0.543+-0.0084
max_A_aa_      0.6007+-0.0002  0.5268+-0.0045
max_A_cn_      0.5946+-0.0005   0.5236+-0.005
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
